model,split,test_month,n,observed_defaults,predicted_defaults,count_error,absolute_count_error,relative_count_error,absolute_relative_count_error,observed_default_rate,predicted_default_rate,count_error_rate,absolute_count_error_rate,p_stress_mean,hard_stress_share
regime_aware_dynamic_stress_robustness_logit,test,2024-06,234904,1761.0,118.40504198784433,-1642.5949580121558,1642.5949580121558,-0.9327626110233707,0.9327626110233707,0.00749667949460205,0.0005040571552116794,-0.006992622339390371,0.006992622339390371,0.99999977885505,1.0
regime_aware_dynamic_stress_robustness_logit,test,2024-07,236800,1771.0,101.31190079399624,-1669.6880992060037,1669.6880992060037,-0.9427939577673652,0.9427939577673652,0.007478885135135135,0.0004278374188935652,-0.00705104771624157,0.00705104771624157,0.9999999069530472,1.0
regime_aware_dynamic_stress_robustness_logit,test,2024-08,238580,1793.0,83.05776769134353,-1709.9422323086565,1709.9422323086565,-0.9536766493634448,0.9536766493634448,0.007515298851538268,0.00034813382383830805,-0.00716716502769996,0.00716716502769996,0.9999330869848196,1.0
regime_aware_dynamic_stress_robustness_logit,test,2024-09,240701,1784.0,72.44889436629606,-1711.5511056337039,1711.5511056337039,-0.9593896332027488,0.9593896332027488,0.0074116850366221995,0.00030099124792292537,-0.007110693788699274,0.007110693788699274,0.9999029286634968,1.0
regime_aware_logit,test,2023-04,200066,1117.0,1795.896744188904,678.896744188904,678.896744188904,0.6077858050034951,0.6077858050034951,0.005583157558005858,0.008976521468859796,0.003393363910853938,0.003393363910853938,0.999958480201736,1.0
regime_aware_logit,test,2023-05,202454,1134.0,1834.8936852124853,700.8936852124853,700.8936852124853,0.6180720328152427,0.6180720328152427,0.005601272387801674,0.009063262198882142,0.003461989811080469,0.003461989811080469,0.999999899954197,1.0
regime_aware_logit,test,2023-06,205586,1185.0,1938.8608289731756,753.8608289731756,753.8608289731756,0.6361694759267305,0.6361694759267305,0.0057640111680756475,0.009430899132106154,0.0036668879640305058,0.0036668879640305058,0.9999999744544451,1.0
regime_aware_logit,test,2023-07,208458,1236.0,2046.323096541897,810.323096541897,810.323096541897,0.655601210794415,0.655601210794415,0.005929251935641712,0.009816476683753548,0.003887224748111836,0.003887224748111836,0.9999999913803682,1.0
regime_aware_logit,test,2023-08,211302,1256.0,2081.680917818716,825.6809178187159,825.6809178187159,0.6573892657792324,0.6573892657792324,0.0059440989673547814,0.009851685823223235,0.003907586855868454,0.003907586855868454,0.9999999999215948,1.0
regime_aware_logit,test,2023-09,214272,1322.0,2220.119312847555,898.1193128475552,898.1193128475552,0.6793640793097997,0.6793640793097997,0.006169728195937874,0.010361219911362919,0.004191491715425045,0.004191491715425045,0.999999999776407,1.0
regime_aware_logit,test,2023-10,216233,1379.0,2304.858338576616,925.858338576616,925.858338576616,0.671398360099069,0.671398360099069,0.006377379955880925,0.01065914239998805,0.004281762444107125,0.004281762444107125,0.9999999999985208,1.0
regime_aware_logit,test,2023-11,219245,1412.0,2413.4702695883548,1001.4702695883548,1001.4702695883548,0.7092565648642739,0.7092565648642739,0.006440283700882574,0.011008097195321922,0.0045678134944393475,0.0045678134944393475,0.9999998574907759,1.0
regime_aware_logit,test,2023-12,221251,1516.0,2543.3171368124667,1027.3171368124667,1027.3171368124667,0.6776498263934477,0.6776498263934477,0.006851946431880534,0.011495166741901581,0.004643220310021047,0.004643220310021047,0.999936355129158,1.0
regime_aware_logit,test,2024-01,223304,1595.0,2550.2071746673714,955.2071746673714,955.2071746673714,0.5988759715782893,0.5988759715782893,0.007142729194282234,0.01142033808022862,0.004277608885946384,0.004277608885946384,0.999999365530501,1.0
regime_aware_logit,test,2024-02,225349,1626.0,2628.235179690926,1002.2351796909261,1002.2351796909261,0.6163807993179127,0.6163807993179127,0.007215474663743793,0.011662954704440339,0.004447480040696547,0.004447480040696547,0.9999999754984987,1.0
regime_aware_logit,test,2024-03,227891,1652.0,2662.849748967942,1010.8497489679421,1010.8497489679421,0.6118945211670351,0.6118945211670351,0.0072490796038456986,0.011684751696942582,0.004435672093096884,0.004435672093096884,0.999999790387866,1.0
regime_aware_logit,test,2024-04,230753,1700.0,2699.5765055245633,999.5765055245633,999.5765055245633,0.5879861797203314,0.5879861797203314,0.007367184825332715,0.011698987686073695,0.00433180286074098,0.00433180286074098,0.9999999993852525,1.0
regime_aware_logit,test,2024-05,232956,1748.0,2772.941779759646,1024.9417797596461,1024.9417797596461,0.5863511325856099,0.5863511325856099,0.007503562904582839,0.011903285512112357,0.004399722607529517,0.004399722607529517,0.9999999930838859,1.0
regime_aware_logit,test,2024-06,234904,1761.0,2976.6420527621704,1215.6420527621704,1215.6420527621704,0.6903134882238332,0.6903134882238332,0.00749667949460205,0.012671738466616875,0.005175058972014824,0.005175058972014824,0.99999977885505,1.0
regime_aware_logit,test,2024-07,236800,1771.0,3033.5615791714627,1262.5615791714627,1262.5615791714627,0.7129088532871048,0.7129088532871048,0.007478885135135135,0.012810648560690299,0.005331763425555163,0.005331763425555163,0.9999999069530472,1.0
regime_aware_logit,test,2024-08,238580,1793.0,3075.3427846458494,1282.3427846458494,1282.3427846458494,0.7151939680121859,0.7151939680121859,0.007515298851538268,0.012890195257967346,0.0053748964064290776,0.0053748964064290776,0.9999330869848196,1.0
regime_aware_logit,test,2024-09,240701,1784.0,3174.970078237019,1390.9700782370192,1390.9700782370192,0.7796917478907058,0.7796917478907058,0.0074116850366221995,0.013190514697641553,0.005778829661019352,0.005778829661019352,0.9999029286634968,1.0
regime_aware_with_raw_macro_logit,test,2023-04,200066,1117.0,3346.5517674556268,2229.5517674556268,2229.5517674556268,1.9960176969164072,1.9960176969164072,0.005583157558005858,0.016727238848458142,0.011144081290452284,0.011144081290452284,0.999958480201736,1.0
regime_aware_with_raw_macro_logit,test,2023-05,202454,1134.0,3965.7916355579437,2831.7916355579437,2831.7916355579437,2.4971707544602677,2.4971707544602677,0.005601272387801674,0.019588605982385845,0.013987333594584171,0.013987333594584171,0.999999899954197,1.0
