month_date,fold,p_stress,hard_stress,hmm_state,hmm_stress_state,selected_seed,train_end
2020-10-01,origin_2023_04,8.523515194136659e-30,0,0,1,71,2022-03-01
2020-11-01,origin_2023_04,5.013349895689493e-39,0,0,1,71,2022-03-01
2020-12-01,origin_2023_04,1.1778249985306828e-40,0,0,1,71,2022-03-01
2021-01-01,origin_2023_04,8.072480847992018e-45,0,0,1,71,2022-03-01
2021-02-01,origin_2023_04,1.2249162668225999e-48,0,0,1,71,2022-03-01
2021-03-01,origin_2023_04,1.7422033443864497e-62,0,0,1,71,2022-03-01
2021-04-01,origin_2023_04,2.2781134576061387e-80,0,0,1,71,2022-03-01
2021-05-01,origin_2023_04,1.0073001388411655e-113,0,0,1,71,2022-03-01
2021-06-01,origin_2023_04,9.572233828098452e-127,0,0,1,71,2022-03-01
2021-07-01,origin_2023_04,2.456686076354827e-128,0,0,1,71,2022-03-01
2021-08-01,origin_2023_04,8.812572557251239e-118,0,0,1,71,2022-03-01
2021-09-01,origin_2023_04,8.463598416665254e-105,0,0,1,71,2022-03-01
2021-10-01,origin_2023_04,8.796686742820922e-99,0,0,1,71,2022-03-01
2021-11-01,origin_2023_04,3.2433637752088544e-102,0,0,1,71,2022-03-01
2021-12-01,origin_2023_04,1.7208672422950557e-101,0,0,1,71,2022-03-01
2022-01-01,origin_2023_04,8.553335495293091e-107,0,0,1,71,2022-03-01
2022-02-01,origin_2023_04,9.650721713108456e-111,0,0,1,71,2022-03-01
2022-03-01,origin_2023_04,6.87131347416395e-113,0,0,1,71,2022-03-01
2022-04-01,origin_2023_04,1.1273664220027496e-87,0,0,1,71,2022-03-01
2022-05-01,origin_2023_04,3.1509321193097404e-86,0,0,1,71,2022-03-01
2022-06-01,origin_2023_04,1.0991815421674416e-69,0,0,1,71,2022-03-01
2022-07-01,origin_2023_04,2.674252227507975e-42,0,0,1,71,2022-03-01
2022-08-01,origin_2023_04,1.625044541393566e-25,0,0,1,71,2022-03-01
2022-09-01,origin_2023_04,1.5718082566763187e-21,0,0,1,71,2022-03-01
2022-10-01,origin_2023_04,4.95777197590416e-18,0,0,1,71,2022-03-01
2022-11-01,origin_2023_04,1.928259733726603e-20,0,0,1,71,2022-03-01
2022-12-01,origin_2023_04,1.591045195690878e-13,0,0,1,71,2022-03-01
